company_id,from_year,to_year,from_pattern,to_pattern
HAVELLS,2020-03,2021-03,Shareholder Returns,Mixed
HAVELLS,2021-03,2022-03,Mixed,Shareholder Returns
HAVELLS,2022-03,2023-03,Shareholder Returns,Liquidating Assets
HAVELLS,2023-03,2024-03,Liquidating Assets,Shareholder Returns
HCLTECH,2013-06,2014-06,Shareholder Returns,Reinvestor
HCLTECH,2016-03,2017-03,Reinvestor,Shareholder Returns
HCLTECH,2017-03,2018-03,Shareholder Returns,Reinvestor
HCLTECH,2019-03,2020-03,Reinvestor,Shareholder Returns
HCLTECH,2021-03,2022-03,Shareholder Returns,Liquidating Assets
HCLTECH,2022-03,2023-03,Liquidating Assets,Shareholder Returns
HDFCBANK,2013-03,2014-03,Growth Funded by Debt,Mixed
HDFCBANK,2014-03,2015-03,Mixed,Growth Funded by Debt
HDFCBANK,2016-03,2017-03,Growth Funded by Debt,Shareholder Returns
HDFCBANK,2017-03,2018-03,Shareholder Returns,Mixed
HDFCBANK,2018-03,2019-03,Mixed,Growth Funded by Debt
HDFCBANK,2020-03,2021-03,Growth Funded by Debt,Shareholder Returns
HDFCBANK,2021-03,2022-03,Shareholder Returns,Growth Funded by Debt
HDFCBANK,2022-03,2023-03,Growth Funded by Debt,Mixed
HDFCBANK,2023-03,2024-03,Mixed,Liquidating Assets
HDFCLIFE,2014-03,2015-03,Mixed,Shareholder Returns
HDFCLIFE,2019-03,2020-03,Shareholder Returns,Mixed
HDFCLIFE,2021-03,2022-03,Mixed,Shareholder Returns
HDFCLIFE,2022-03,2023-03,Shareholder Returns,Mixed
HDFCLIFE,2023-03,2024-03,Mixed,Shareholder Returns
HEROMOTOCO,2014-03,2015-03,Shareholder Returns,Liquidating Assets
HEROMOTOCO,2015-03,2016-03,Liquidating Assets,Shareholder Returns
HEROMOTOCO,2018-03,2019-03,Shareholder Returns,Liquidating Assets
HEROMOTOCO,2019-03,2020-03,Liquidating Assets,Shareholder Returns
HEROMOTOCO,2021-03,2022-03,Shareholder Returns,Reinvestor
HEROMOTOCO,2023-03,2024-03,Reinvestor,Shareholder Returns
HINDALCO,2014-03,2015-03,Mixed,Shareholder Returns
HINDALCO,2015-03,2016-03,Shareholder Returns,Reinvestor
HINDALCO,2016-03,2017-03,Reinvestor,Shareholder Returns
HINDALCO,2017-03,2018-03,Shareholder Returns,Liquidating Assets
HINDALCO,2018-03,2019-03,Liquidating Assets,Shareholder Returns
HINDALCO,2019-03,2020-03,Shareholder Returns,Mixed
HINDALCO,2020-03,2021-03,Mixed,Shareholder Returns
HINDUNILVR,2013-03,2014-03,Liquidating Assets,Reinvestor
HINDUNILVR,2014-03,2015-03,Reinvestor,Liquidating Assets
HINDUNILVR,2015-03,2016-03,Liquidating Assets,Shareholder Returns
HINDUNILVR,2018-03,2019-03,Shareholder Returns,Reinvestor
HINDUNILVR,2019-03,2020-03,Reinvestor,Liquidating Assets
HINDUNILVR,2020-03,2021-03,Liquidating Assets,Shareholder Returns
HINDUNILVR,2022-03,2023-03,Shareholder Returns,Reinvestor
HINDUNILVR,2023-03,2024-03,Reinvestor,Shareholder Returns
ICICIBANK,2014-03,2015-03,Mixed,Growth Funded by Debt
ICICIBANK,2015-03,2016-03,Growth Funded by Debt,Mixed
ICICIBANK,2016-03,2017-03,Mixed,Shareholder Returns
ICICIBANK,2017-03,2018-03,Shareholder Returns,Mixed
ICICIBANK,2018-03,2019-03,Mixed,Shareholder Returns
ICICIBANK,2019-03,2020-03,Shareholder Returns,Mixed
ICICIBANK,2020-03,2021-03,Mixed,Shareholder Returns
ICICIBANK,2021-03,2022-03,Shareholder Returns,Mixed
ICICIBANK,2022-03,2023-03,Mixed,Growth Funded by Debt
ICICIBANK,2023-03,2024-03,Growth Funded by Debt,Mixed
ICICIGI,2015-03,2016-03,Mixed,Shareholder Returns
ICICIGI,2016-03,2017-03,Shareholder Returns,Mixed
ICICIGI,2017-03,2018-03,Mixed,Shareholder Returns
ICICIGI,2021-03,2022-03,Shareholder Returns,Liquidating Assets
ICICIGI,2022-03,2023-03,Liquidating Assets,Shareholder Returns
ICICIPRULI,2014-03,2015-03,Mixed,Reinvestor
ICICIPRULI,2015-03,2016-03,Reinvestor,Liquidating Assets
ICICIPRULI,2016-03,2017-03,Liquidating Assets,Shareholder Returns
ICICIPRULI,2020-03,2021-03,Shareholder Returns,Mixed
ICICIPRULI,2021-03,2022-03,Mixed,Shareholder Returns
ICICIPRULI,2022-03,2023-03,Shareholder Returns,Reinvestor
ICICIPRULI,2023-03,2024-03,Reinvestor,Mixed
INDIGO,2014-03,2015-03,Mixed,Shareholder Returns
